techs,cost_flow_cap_per_distance
LVEtransmission674_to_LVEtransmission4_electricity,100
LVEtransmission4_to_LVEtransmission1012_electricity,100
LVEtransmission1012_to_LVEtransmission771_electricity,100
LVEtransmission771_to_LVEtransmission375_electricity,100
LVEtransmission375_to_LVEtransmission320_electricity,100
LVEtransmission320_to_LVEtransmission47_electricity,100
LVEtransmission47_to_LVEtransmission720_electricity,100
LVEtransmission720_to_LVEtransmission186_electricity,100
LVEtransmission645_to_LVEtransmission162_electricity,100
LVEtransmission162_to_LVEtransmission249_electricity,100
LVEtransmission249_to_LVEtransmission23_electricity,100
LVEtransmission23_to_LVEtransmission761_electricity,100
LVEtransmission761_to_LVEtransmission522_electricity,100
LVEtransmission522_to_LVEtransmission541_electricity,100
LVEtransmission541_to_LVEtransmission261_electricity,100
LVEtransmission261_to_LVEtransmission297_electricity,100
LVEtransmission297_to_LVEtransmission305_electricity,100
LVEtransmission305_to_LVEtransmission504_electricity,100
LVEtransmission504_to_LVEtransmission594_electricity,100
LVEtransmission594_to_LVEtransmission692_electricity,100
LVEtransmission692_to_LVEtransmission155_electricity,100
LVEtransmission155_to_LVEtransmission851_electricity,100
LVEtransmission851_to_LVEtransmission268_electricity,100
LVEtransmission268_to_LVEtransmission352_electricity,100
LVEtransmission222_to_LVEtransmission721_electricity,100
LVEtransmission721_to_LVEtransmission257_electricity,100
LVEtransmission257_to_LVEtransmission836_electricity,100
LVEtransmission836_to_LVEtransmission463_electricity,100
LVEtransmission463_to_LVEtransmission307_electricity,100
LVEtransmission307_to_LVEtransmission508_electricity,100
LVEtransmission508_to_LVEtransmission339_electricity,100
LVEtransmission339_to_LVEtransmission100_electricity,100
LVEtransmission100_to_LVEtransmission708_electricity,100
LVEtransmission708_to_LVEtransmission125_electricity,100
LVEtransmission125_to_LVEtransmission147_electricity,100
LVEtransmission147_to_LVEtransmission646_electricity,100
LVEtransmission646_to_LVEtransmission505_electricity,100
LVEtransmission505_to_LVEtransmission585_electricity,100
LVEtransmission585_to_LVEtransmission133_electricity,100
LVEtransmission644_to_LVEtransmission629_electricity,100
LVEtransmission629_to_LVEtransmission581_electricity,100
LVEtransmission581_to_LVEtransmission82_electricity,100
LVEtransmission423_to_LVEtransmission7_electricity,100
LVEtransmission7_to_LVEtransmission317_electricity,100
LVEtransmission317_to_LVEtransmission299_electricity,100
