geometry,lat,lon,id
POINT (4.3602452 51.9922485),51.9922485,4.3602452,transmission230
POINT (4.3613216 51.9914846),51.9914846,4.3613216,transmission231
POINT (4.3594269 51.9912732),51.9912732,4.3594269,transmission232
POINT (4.3598003 51.9936206),51.9936206,4.3598003,transmission233
POINT (4.3554702 51.9955335),51.9955335,4.3554702,transmission234
POINT (4.3600277 51.9913146),51.9913146,4.3600277,transmission235
POINT (4.3571153 51.9947472),51.9947472,4.3571153,transmission236
POINT (4.3578057 51.9910583),51.9910583,4.3578057,transmission237
POINT (4.3591443 51.9934196),51.9934196,4.3591443,transmission238
POINT (4.359513 51.991258),51.991258,4.359513,transmission239
POINT (4.3571315 51.9953003),51.9953003,4.3571315,transmission240
POINT (4.3587546 51.9916935),51.9916935,4.3587546,transmission241
POINT (4.355577 51.9953196),51.9953196,4.355577,transmission242
POINT (4.3592789 51.9934502),51.9934502,4.3592789,transmission243
POINT (4.3566996 51.9952112),51.9952112,4.3566996,transmission244
POINT (4.3611324 51.9919823),51.9919823,4.3611324,transmission245
POINT (4.3576112 51.9959183),51.9959183,4.3576112,transmission246
POINT (4.3619757 51.9915924),51.9915924,4.3619757,transmission247
POINT (4.3596832 51.9927559),51.9927559,4.3596832,transmission248
POINT (4.3602803 51.9913812),51.9913812,4.3602803,transmission249
POINT (4.3588535 51.9935352),51.9935352,4.3588535,transmission250
POINT (4.3575958 51.9961567),51.9961567,4.3575958,transmission251
POINT (4.3556838 51.9951057),51.9951057,4.3556838,transmission252
POINT (4.362665 51.9918722),51.9918722,4.362665,transmission253
POINT (4.3602312 51.9965463),51.9965463,4.3602312,transmission254
POINT (4.3609963 51.9951642),51.9951642,4.3609963,transmission255
POINT (4.3611272 51.9912126),51.9912126,4.3611272,transmission256
POINT (4.3575844 51.9929974),51.9929974,4.3575844,transmission257
POINT (4.3611163 51.993301),51.993301,4.3611163,transmission258
POINT (4.3578763 51.9909973),51.9909973,4.3578763,transmission259
POINT (4.3563789 51.9936941),51.9936941,4.3563789,transmission260
POINT (4.3575062 51.9961796),51.9961796,4.3575062,transmission261
