techs,name,capacity_kw,distance_m,environmental_impact_per_kW,environmental_impact
TH59_TH58_interp_5_to_TH59_TH58_interp_6,Interpolated Heat transmission,180.27647763424415,0.8420317078121999,,
TH59_TH58_interp_6_to_TH59_TH58_interp_7,Interpolated Heat transmission,180.2795444012046,0.842031697627908,,
TH59_TH58_interp_7_to_TH59_TH58_interp_8,Interpolated Heat transmission,180.28261122029812,0.8420316876205375,,
TH57_TH56_interp_8_to_TH57_TH56_interp_9,Interpolated Heat transmission,110.11805446871693,0.9275277138349614,,
TH57_TH56_interp_7_to_TH57_TH56_interp_8,Interpolated Heat transmission,110.11599103311461,0.9275276962133407,,
TH57_TH56_interp_6_to_TH57_TH56_interp_7,Interpolated Heat transmission,110.11392763621772,0.9275276782404538,,
TH57_TH56_interp_5_to_TH57_TH56_interp_6,Interpolated Heat transmission,110.11186427802559,0.9275276602654962,,
TH55_TH54_interp_5_to_TH55_TH54_interp_6,Interpolated Heat transmission,160.1795904710462,1.05543331127272,,
TH55_TH54_interp_6_to_TH55_TH54_interp_7,Interpolated Heat transmission,160.18300595444214,1.0554333284100799,,
TH55_TH54_interp_7_to_TH55_TH54_interp_8,Interpolated Heat transmission,160.18642151072135,1.0554333469606028,,
TH55_TH54_interp_8_to_TH55_TH54_interp_9,Interpolated Heat transmission,170.19543045723185,1.0554333633910353,,
TH55_TH54_interp_9_to_TH55_TH54_interp_10,Interpolated Heat transmission,170.19905950693652,1.0554333840624583,,
TH55_to_TH55_TH54_interp_1,Interpolated Heat transmission,140.15450109405538,1.0554332195713818,,
TH56_TH55_interp_10_to_TH55,Interpolated Heat transmission,130.14900717187217,0.6565312891880969,,
TH56_TH55_interp_1_to_TH56_TH55_interp_2,Interpolated Heat transmission,120.13022908217282,0.6565311952036248,,
TH56_TH55_interp_2_to_TH56_TH55_interp_3,Interpolated Heat transmission,120.13182246497011,0.6565312059619971,,
TH56_TH55_interp_3_to_TH56_TH55_interp_4,Interpolated Heat transmission,120.13341586892786,0.6565312135350057,,
TH55_TH54_interp_3_to_TH55_TH54_interp_4,Interpolated Heat transmission,150.1693117014723,1.0554332734605258,,
TH56_TH55_interp_4_to_TH56_TH55_interp_5,Interpolated Heat transmission,120.13500929403855,0.6565312267677247,,
TH56_TH55_interp_6_to_TH56_TH55_interp_7,Interpolated Heat transmission,130.1421023208462,0.6565312468671033,,
TH56_TH55_interp_7_to_TH56_TH55_interp_8,Interpolated Heat transmission,130.14382849921898,0.6565312572705712,,
TH56_TH55_interp_8_to_TH56_TH55_interp_9,Interpolated Heat transmission,130.14555470051482,0.6565312669672296,,
TH56_TH55_interp_9_to_TH56_TH55_interp_10,Interpolated Heat transmission,130.14728092473214,0.656531277017264,,
TH56_to_TH56_TH55_interp_1,Interpolated Heat transmission,120.12863572053823,0.6565311833877208,,
TH57_TH56_interp_10_to_TH56,Interpolated Heat transmission,120.12638470257669,0.927527751198728,,
TH57_TH56_interp_1_to_TH57_TH56_interp_2,Interpolated Heat transmission,110.10361123228984,0.9275275880148373,,
TH57_TH56_interp_2_to_TH57_TH56_interp_3,Interpolated Heat transmission,110.10567443566953,0.9275276059877745,,
TH57_TH56_interp_3_to_TH57_TH56_interp_4,Interpolated Heat transmission,110.10773767775103,0.9275276246703987,,
TH57_TH56_interp_4_to_TH57_TH56_interp_5,Interpolated Heat transmission,110.10980095853667,0.9275276426446158,,
TH56_TH55_interp_5_to_TH56_TH55_interp_6,Interpolated Heat transmission,120.13660274031623,0.6565312368162887,,
TH51_TH50_interp_8_to_TH51_TH50_interp_9,Interpolated Heat transmission,360.5797359475784,0.9330358813648505,,
TH48_TH47_interp_5_to_TH48_TH47_interp_6,Interpolated Heat transmission,611.3544051841159,1.5321216439177225,,
TH51_TH50_interp_6_to_TH51_TH50_interp_7,Interpolated Heat transmission,360.5661424556854,0.9330358521574357,,
TH46_TH45_interp_10_to_TH45,Interpolated Heat transmission,671.7920134695296,1.4207210125434968,,
TH46_TH45_interp_1_to_TH46_TH45_interp_2,Interpolated Heat transmission,651.6147182138245,1.4207201862870766,,
TH46_TH45_interp_2_to_TH46_TH45_interp_3,Interpolated Heat transmission,661.6358082362623,1.4207202786828945,,
TH46_TH45_interp_3_to_TH46_TH45_interp_4,Interpolated Heat transmission,671.6570527104102,1.4207203701943403,,
TH46_TH45_interp_4_to_TH46_TH45_interp_5,Interpolated Heat transmission,671.6763311550025,1.4207204620594238,,
TH46_TH45_interp_5_to_TH46_TH45_interp_6,Interpolated Heat transmission,671.695610154187,1.4207205535713947,,
TH46_TH45_interp_6_to_TH46_TH45_interp_7,Interpolated Heat transmission,671.7148897079747,1.4207206447290786,,
