id,Warmtevraag,share,Peak heat demand (kW),lon,lat,addresses,nr_addresses,year_construction
0503100000015418,10247445.956418859,0.0012577804801295442,6.529110707865428,84388.5404,445572.53020000004,Nicolaas Beetslaan 18,1,1966
0503100000015420,11616341.665493326,0.0014257999368341159,7.4012959987252165,84429.70514285714,445635.66642857145,Betje Wolfflaan 22,1,1966
0503100000015424,10759353.679431852,0.0013206124818177301,6.85527024166317,84408.3198,445744.9166,Aagje Dekenlaan 31,1,1966
0503100000015425,9772966.50894359,0.0011995424577193627,6.226798419091428,84416.3118,445720.8164,Aagje Dekenlaan 41,1,1966
0503100000015428,11147148.988859443,0.0013682108173013433,7.102352150463839,84366.7292,445663.3008,Multatuliweg 33,1,1966
0503100000015431,12240313.784151884,0.0015023868204665403,7.798856821067604,84394.5916,445672.5782,Aagje Dekenlaan 22,1,1966
0503100000015432,12715261.896773718,0.0015606823672467524,8.101467717576629,84417.9284,445715.9416,Aagje Dekenlaan 43,1,1966
0503100000018688,840753629.7631483,0.10319483592414133,535.6821153396597,84422.5537,445481.86600000004,"Albert Verweylaan 1-15, Multatuliweg 67",9,1967
0503100000018691,12806528.358747676,0.0015718844926201898,8.159617703112284,84493.93179999999,445346.1268,Willem Kloospad 10,1,1966
0503100000018692,11889686.99305347,0.001459350581433945,7.575456654239579,84490.4986,445354.7672,Willem Kloospad 8,1,1966
0503100000018693,12116728.349290231,0.0014872178360914687,7.720114958019671,84454.5516,445358.5658,Multatuliweg 69,1,1966
0503100000018694,10520166.024943773,0.0012912543798884752,6.702872982604769,84456.94820000001,445352.9018,Multatuliweg 71,1,1966
0503100000018695,11594983.638804257,0.0014231784339564383,7.387687835154748,84458.8654,445348.3706,Multatuliweg 73,1,1966
0503100000018698,9423790.476355568,0.001156684286055311,6.004322596042819,84550.24879999999,445199.3256,Frederik van Eedenlaan 32,1,1966
0503100000018699,11401436.100545159,0.001399422239814528,7.264369955762868,84545.53959999999,445197.31919999997,Frederik van Eedenlaan 30,1,1966
0503100000018700,14009181.780483272,0.001719499225564697,8.925882523351353,84585.30960000001,445249.4882,Frederik van Eedenlaan 44,1,1966
0503100000018701,11459443.295387633,0.0014065420936483738,7.301328959849345,84509.6838,445252.1154,Frederik van Eedenlaan 21,1,1966
0503100000018704,11196021.618449982,0.0013742094866061644,7.133491110409392,84546.2886,445334.2954,P.C. Boutenspad 7,1,1966
0503100000018705,11185326.833876701,0.001372896799392914,7.126676980061918,84551.95619999999,445336.696,P.C. Boutenspad 9,1,1966
0503100000018706,12784160.008790566,0.0015691389817808635,8.145365816950273,84517.72766666666,445353.246,Louis Couperuslaan 14,1,1966
0503100000018707,13542880.852375003,0.00166226504177537,8.628781138699285,84546.1558,445366.237,Louis Couperuslaan 24,1,1966
0503100000018708,527307458.3704498,0.06472217867610527,335.97140081790366,84538.73215,445568.57395,Nicolaas Beetslaan 1-117,59,1966
0503100000018710,10920104.666228877,0.0013403431985460493,6.957691956660258,84562.647,445423.9016,Albert Verweylaan 44,1,1966
0503100000018711,11841293.77293979,0.001453410755267653,7.544623147727217,84557.8628,445422.0824,Albert Verweylaan 42,1,1966
0503100000018712,13263644.282471508,0.0016279913009372496,8.450866906573715,84555.65388888889,445454.02722222224,Albert Verweylaan 47,1,1966
0503100000018785,12519590.709477276,0.0015366655145644431,7.976796765455364,84399.063,445510.6692,Multatuliweg 51,1,1966
0503100000018786,12783316.568369858,0.0015690354571658686,8.144828422959055,84426.7396,445521.15640000004,Busken Huetpad 16,1,1966
0503100000018787,14222680.932718813,0.001745704298257748,9.061912477245192,84411.6146,445561.17520000006,Busken Huetpad 2,1,1966
0503100000018788,11847894.98143343,0.001454220993372238,7.548829075842766,84514.8556,445219.7212,Frederik van Eedenlaan 16,1,1966
0503100000018789,9333500.689156448,0.0011456020385980344,5.946794894123747,84517.2826,445214.0506,Frederik van Eedenlaan 18,1,1966
0503100000018790,10530812.589451535,0.0012925611485287054,6.709656389770343,84521.32759999999,445204.5996,Frederik van Eedenlaan 22,1,1966
0503100000018791,11905139.23927293,0.0014612472036509977,7.5853019783018985,84524.968,445196.09380000003,Frederik van Eedenlaan 26,1,1966
0503100000018792,10223741.291131312,0.0012548709487776853,6.51400739484348,84523.35,445199.87419999996,Frederik van Eedenlaan 24,1,1966
0503100000018793,12894027.002373282,0.001582624152673841,8.215367041381475,84540.8304,445195.31320000003,Frederik van Eedenlaan 28,1,1966
0503100000018794,13229577.33014568,0.0016238098934104217,8.429161312403142,84500.0696,445274.8678,Frederik van Eedenlaan 13,1,1966
0503100000018795,11786439.9699655,0.0014466779515099795,7.509673312042333,84501.9924,445270.31739999994,Frederik van Eedenlaan 15,1,1966
0503100000018796,11067751.627352092,0.0013584655157010768,7.051764504976509,84507.28020000001,445257.80360000004,Frederik van Eedenlaan 19,1,1966
0503100000018797,13113310.082794504,0.0016095391497716032,8.355082197189162,84522.4484,445297.4824,Willem Kloospad 26,1,1966
0503100000018798,11757577.521552168,0.0014431353493457497,7.4912837424078935,84524.36559999999,445292.9534,Willem Kloospad 28,1,1966
0503100000018799,10563847.721540166,0.0012966159095370868,6.7307045646592805,84527.2416,445286.16,Willem Kloospad 30,1,1966
0503100000018800,9976270.883996723,0.0012244962145436758,6.356332819932433,84529.63859999999,445280.4992000001,Willem Kloospad 32,1,1966
0503100000018801,10780806.756699504,0.0013232456512865635,6.8689389662507985,84532.03540000001,445274.8382,Willem Kloospad 34,1,1966
