techs,carrier_out,carrier_in
LVEtransmission221_to_LVEtransmission42_electricity,1,1
LVEtransmission42_to_LVEtransmission884_electricity,1,1
LVEtransmission884_to_LVEtransmission790_electricity,1,1
LVEtransmission790_to_LVEtransmission170_electricity,1,1
LVEtransmission170_to_LVEtransmission444_electricity,1,1
LVEtransmission444_to_LVEtransmission500_electricity,1,1
LVEtransmission500_to_LVEtransmission880_electricity,1,1
LVEtransmission880_to_LVEtransmission694_electricity,1,1
LVEtransmission694_to_LVEtransmission843_electricity,1,1
LVEtransmission843_to_LVEtransmission504_electricity,1,1
LVEtransmission200_to_LVEtransmission443_electricity,1,1
LVEtransmission443_to_LVEtransmission832_electricity,1,1
LVEtransmission832_to_LVEtransmission616_electricity,1,1
LVEtransmission616_to_LVEtransmission599_electricity,1,1
LVEtransmission599_to_LVEtransmission264_electricity,1,1
LVEtransmission264_to_LVEtransmission429_electricity,1,1
LVEtransmission429_to_LVEtransmission286_electricity,1,1
LVEtransmission286_to_LVEtransmission722_electricity,1,1
LVEtransmission722_to_LVEtransmission905_electricity,1,1
LVEtransmission236_to_LVEtransmission600_electricity,1,1
LVEtransmission600_to_LVEtransmission162_electricity,1,1
LVEtransmission162_to_LVEtransmission64_electricity,1,1
LVEtransmission64_to_LVEtransmission854_electricity,1,1
LVEtransmission691_to_LVEtransmission401_electricity,1,1
LVEtransmission401_to_LVEtransmission36_electricity,1,1
LVEtransmission36_to_LVEtransmission899_electricity,1,1
LVEtransmission899_to_LVEtransmission381_electricity,1,1
LVEtransmission381_to_LVEtransmission560_electricity,1,1
LVEtransmission560_to_LVEtransmission648_electricity,1,1
LVEtransmission648_to_LVEtransmission68_electricity,1,1
LVEtransmission68_to_LVEtransmission181_electricity,1,1
LVEtransmission181_to_LVEtransmission373_electricity,1,1
LVEtransmission900_to_LVEtransmission665_electricity,1,1
LVEtransmission665_to_LVEtransmission576_electricity,1,1
LVEtransmission576_to_LVEtransmission643_electricity,1,1
LVEtransmission643_to_LVEtransmission524_electricity,1,1
LVEtransmission524_to_LVEtransmission686_electricity,1,1
LVEtransmission686_to_LVEtransmission243_electricity,1,1
LVEtransmission243_to_LVEtransmission431_electricity,1,1
LVEtransmission431_to_LVEtransmission385_electricity,1,1
LVEtransmission385_to_LVEtransmission529_electricity,1,1
LVEtransmission529_to_LVEtransmission207_electricity,1,1
LVEtransmission207_to_LVEtransmission474_electricity,1,1
LVEtransmission474_to_LVEtransmission357_electricity,1,1
LVEtransmission357_to_LVEtransmission741_electricity,1,1
LVEtransmission741_to_LVEtransmission28_electricity,1,1
LVEtransmission28_to_LVEtransmission880_electricity,1,1
